@/atom:SPCE/H   1       #"system.lt", line 15
$/atom:wat[463]/H1   1390       #"system.lt", line 3
$/atom:wat[463]/H2   1391       #"system.lt", line 4
$/atom:wat[463]/O   1392       #"system.lt", line 5
$/atom:wat[464]/H1   1393       #"system.lt", line 3
$/atom:wat[464]/H2   1394       #"system.lt", line 4
$/atom:wat[464]/O   1395       #"system.lt", line 5
$/atom:wat[465]/H1   1396       #"system.lt", line 3
$/atom:wat[465]/H2   1397       #"system.lt", line 4
$/atom:wat[465]/O   1398       #"system.lt", line 5
$/atom:wat[466]/H1   1399       #"system.lt", line 3
$/atom:wat[466]/H2   1400       #"system.lt", line 4
$/atom:wat[466]/O   1401       #"system.lt", line 5
$/atom:wat[467]/H1   1402       #"system.lt", line 3
$/atom:wat[467]/H2   1403       #"system.lt", line 4
$/atom:wat[467]/O   1404       #"system.lt", line 5
$/atom:wat[468]/H1   1405       #"system.lt", line 3
$/atom:wat[468]/H2   1406       #"system.lt", line 4
$/atom:wat[468]/O   1407       #"system.lt", line 5
$/atom:wat[469]/H1   1408       #"system.lt", line 3
$/atom:wat[469]/H2   1409       #"system.lt", line 4
$/atom:wat[469]/O   1410       #"system.lt", line 5
$/atom:wat[470]/H1   1411       #"system.lt", line 3
$/atom:wat[470]/H2   1412       #"system.lt", line 4
$/atom:wat[470]/O   1413       #"system.lt", line 5
$/atom:wat[471]/H1   1414       #"system.lt", line 3
$/atom:wat[471]/H2   1415       #"system.lt", line 4
$/atom:wat[471]/O   1416       #"system.lt", line 5
$/atom:wat[472]/H1   1417       #"system.lt", line 3
$/atom:wat[472]/H2   1418       #"system.lt", line 4
$/atom:wat[472]/O   1419       #"system.lt", line 5
$/atom:wat[473]/H1   1420       #"system.lt", line 3
$/atom:wat[473]/H2   1421       #"system.lt", line 4
$/atom:wat[473]/O   1422       #"system.lt", line 5
$/atom:wat[474]/H1   1423       #"system.lt", line 3
$/atom:wat[474]/H2   1424       #"system.lt", line 4
$/atom:wat[474]/O   1425       #"system.lt", line 5
$/atom:wat[475]/H1   1426       #"system.lt", line 3
$/atom:wat[475]/H2   1427       #"system.lt", line 4
$/atom:wat[475]/O   1428       #"system.lt", line 5
$/atom:wat[476]/H1   1429       #"system.lt", line 3
$/atom:wat[476]/H2   1430       #"system.lt", line 4
$/atom:wat[476]/O   1431       #"system.lt", line 5
$/atom:wat[477]/H1   1432       #"system.lt", line 3
$/atom:wat[477]/H2   1433       #"system.lt", line 4
$/atom:wat[477]/O   1434       #"system.lt", line 5
$/atom:wat[478]/H1   1435       #"system.lt", line 3
$/atom:wat[478]/H2   1436       #"system.lt", line 4
$/atom:wat[478]/O   1437       #"system.lt", line 5
$/atom:wat[479]/H1   1438       #"system.lt", line 3
$/atom:wat[479]/H2   1439       #"system.lt", line 4
$/atom:wat[479]/O   1440       #"system.lt", line 5
$/atom:wat[480]/H1   1441       #"system.lt", line 3
$/atom:wat[480]/H2   1442       #"system.lt", line 4
$/atom:wat[480]/O   1443       #"system.lt", line 5
$/atom:wat[481]/H1   1444       #"system.lt", line 3
$/atom:wat[481]/H2   1445       #"system.lt", line 4
$/atom:wat[481]/O   1446       #"system.lt", line 5
$/atom:wat[482]/H1   1447       #"system.lt", line 3
$/atom:wat[482]/H2   1448       #"system.lt", line 4
$/atom:wat[482]/O   1449       #"system.lt", line 5
$/atom:wat[483]/H1   1450       #"system.lt", line 3
$/atom:wat[483]/H2   1451       #"system.lt", line 4
$/atom:wat[483]/O   1452       #"system.lt", line 5
$/atom:wat[484]/H1   1453       #"system.lt", line 3
$/atom:wat[484]/H2   1454       #"system.lt", line 4
$/atom:wat[484]/O   1455       #"system.lt", line 5
$/atom:wat[485]/H1   1456       #"system.lt", line 3
$/atom:wat[485]/H2   1457       #"system.lt", line 4
$/atom:wat[485]/O   1458       #"system.lt", line 5
$/atom:wat[486]/H1   1459       #"system.lt", line 3
$/atom:wat[486]/H2   1460       #"system.lt", line 4
$/atom:wat[486]/O   1461       #"system.lt", line 5
$/atom:wat[487]/H1   1462       #"system.lt", line 3
$/atom:wat[487]/H2   1463       #"system.lt", line 4
$/atom:wat[487]/O   1464       #"system.lt", line 5
$/atom:wat[488]/H1   1465       #"system.lt", line 3
$/atom:wat[488]/H2   1466       #"system.lt", line 4
$/atom:wat[488]/O   1467       #"system.lt", line 5
$/atom:wat[489]/H1   1468       #"system.lt", line 3
$/atom:wat[489]/H2   1469       #"system.lt", line 4
$/atom:wat[489]/O   1470       #"system.lt", line 5
$/atom:wat[490]/H1   1471       #"system.lt", line 3
$/atom:wat[490]/H2   1472       #"system.lt", line 4
$/atom:wat[490]/O   1473       #"system.lt", line 5
$/atom:wat[491]/H1   1474       #"system.lt", line 3
$/atom:wat[491]/H2   1475       #"system.lt", line 4
$/atom:wat[491]/O   1476       #"system.lt", line 5
$/atom:wat[492]/H1   1477       #"system.lt", line 3
$/atom:wat[492]/H2   1478       #"system.lt", line 4
$/atom:wat[492]/O   1479       #"system.lt", line 5
$/atom:wat[493]/H1   1480       #"system.lt", line 3
$/atom:wat[493]/H2   1481       #"system.lt", line 4
$/atom:wat[493]/O   1482       #"system.lt", line 5
$/atom:wat[494]/H1   1483       #"system.lt", line 3
$/atom:wat[494]/H2   1484       #"system.lt", line 4
$/atom:wat[494]/O   1485       #"system.lt", line 5
$/atom:wat[495]/H1   1486       #"system.lt", line 3
$/atom:wat[495]/H2   1487       #"system.lt", line 4
$/atom:wat[495]/O   1488       #"system.lt", line 5
$/atom:wat[496]/H1   1489       #"system.lt", line 3
$/atom:wat[496]/H2   1490       #"system.lt", line 4
$/atom:wat[496]/O   1491       #"system.lt", line 5
$/atom:wat[497]/H1   1492       #"system.lt", line 3
$/atom:wat[497]/H2   1493       #"system.lt", line 4
$/atom:wat[497]/O   1494       #"system.lt", line 5
$/atom:wat[498]/H1   1495       #"system.lt", line 3
$/atom:wat[498]/H2   1496       #"system.lt", line 4
$/atom:wat[498]/O   1497       #"system.lt", line 5
$/atom:wat[499]/H1   1498       #"system.lt", line 3
$/atom:wat[499]/H2   1499       #"system.lt", line 4
$/atom:wat[499]/O   1500       #"system.lt", line 5
$/atom:wat[500]/H1   1501       #"system.lt", line 3
$/atom:wat[500]/H2   1502       #"system.lt", line 4
$/atom:wat[500]/O   1503       #"system.lt", line 5
$/atom:wat[501]/H1   1504       #"system.lt", line 3
$/atom:wat[501]/H2   1505       #"system.lt", line 4
$/atom:wat[501]/O   1506       #"system.lt", line 5
$/atom:wat[502]/H1   1507       #"system.lt", line 3
$/atom:wat[502]/H2   1508       #"system.lt", line 4
$/atom:wat[502]/O   1509       #"system.lt", line 5
$/atom:wat[503]/H1   1510       #"system.lt", line 3
$/atom:wat[503]/H2   1511       #"system.lt", line 4
$/atom:wat[503]/O   1512       #"system.lt", line 5
$/atom:wat[504]/H1   1513       #"system.lt", line 3
$/atom:wat[504]/H2   1514       #"system.lt", line 4
$/atom:wat[504]/O   1515       #"system.lt", line 5
$/atom:wat[505]/H1   1516       #"system.lt", line 3
$/atom:wat[505]/H2   1517       #"system.lt", line 4
$/atom:wat[505]/O   1518       #"system.lt", line 5
$/atom:wat[506]/H1   1519       #"system.lt", line 3
$/atom:wat[506]/H2   1520       #"system.lt", line 4
$/atom:wat[506]/O   1521       #"system.lt", line 5
$/atom:wat[507]/H1   1522       #"system.lt", line 3
$/atom:wat[507]/H2   1523       #"system.lt", line 4
$/atom:wat[507]/O   1524       #"system.lt", line 5
$/atom:wat[508]/H1   1525       #"system.lt", line 3
$/atom:wat[508]/H2   1526       #"system.lt", line 4
$/atom:wat[508]/O   1527       #"system.lt", line 5
$/atom:wat[509]/H1   1528       #"system.lt", line 3
$/atom:wat[509]/H2   1529       #"system.lt", line 4
$/atom:wat[509]/O   1530       #"system.lt", line 5
$/atom:wat[510]/H1   1531       #"system.lt", line 3
$/atom:wat[510]/H2   1532       #"system.lt", line 4
$/atom:wat[510]/O   1533       #"system.lt", line 5
$/atom:wat[511]/H1   1534       #"system.lt", line 3
$/atom:wat[511]/H2   1535       #"system.lt", line 4
$/atom:wat[511]/O   1536       #"system.lt", line 5
$/atom:wat[512]/H1   1537       #"system.lt", line 3
$/atom:wat[512]/H2   1538       #"system.lt", line 4
$/atom:wat[512]/O   1539       #"system.lt", line 5
$/atom:wat[513]/H1   1540       #"system.lt", line 3
$/atom:wat[513]/H2   1541       #"system.lt", line 4
$/atom:wat[513]/O   1542       #"system.lt", line 5
$/atom:wat[514]/H1   1543       #"system.lt", line 3
$/atom:wat[514]/H2   1544       #"system.lt", line 4
$/atom:wat[514]/O   1545       #"system.lt", line 5
$/atom:wat[515]/H1   1546       #"system.lt", line 3
$/atom:wat[515]/H2   1547       #"system.lt", line 4
$/atom:wat[515]/O   1548       #"system.lt", line 5
$/atom:wat[516]/H1   1549       #"system.lt", line 3
$/atom:wat[516]/H2   1550       #"system.lt", line 4
$/atom:wat[516]/O   1551       #"system.lt", line 5
$/atom:wat[517]/H1   1552       #"system.lt", line 3
$/atom:wat[517]/H2   1553       #"system.lt", line 4
$/atom:wat[517]/O   1554       #"system.lt", line 5
$/atom:wat[518]/H1   1555       #"system.lt", line 3
$/atom:wat[518]/H2   1556       #"system.lt", line 4
$/atom:wat[518]/O   1557       #"system.lt", line 5
$/atom:wat[519]/H1   1558       #"system.lt", line 3
$/atom:wat[519]/H2   1559       #"system.lt", line 4
$/atom:wat[519]/O   1560       #"system.lt", line 5
$/atom:wat[520]/H1   1561       #"system.lt", line 3
$/atom:wat[520]/H2   1562       #"system.lt", line 4
$/atom:wat[520]/O   1563       #"system.lt", line 5
$/atom:wat[521]/H1   1564       #"system.lt", line 3
$/atom:wat[521]/H2   1565       #"system.lt", line 4
$/atom:wat[521]/O   1566       #"system.lt", line 5
$/atom:wat[522]/H1   1567       #"system.lt", line 3
$/atom:wat[522]/H2   1568       #"system.lt", line 4
$/atom:wat[522]/O   1569       #"system.lt", line 5
$/atom:wat[523]/H1   1570       #"system.lt", line 3
$/atom:wat[523]/H2   1571       #"system.lt", line 4
$/atom:wat[523]/O   1572       #"system.lt", line 5
$/atom:wat[524]/H1   1573       #"system.lt", line 3
$/atom:wat[524]/H2   1574       #"system.lt", line 4
$/atom:wat[524]/O   1575       #"system.lt", line 5
$/atom:wat[525]/H1   1576       #"system.lt", line 3
$/atom:wat[525]/H2   1577       #"system.lt", line 4
$/atom:wat[525]/O   1578       #"system.lt", line 5
$/atom:wat[526]/H1   1579       #"system.lt", line 3
$/atom:wat[526]/H2   1580       #"system.lt", line 4
$/atom:wat[526]/O   1581       #"system.lt", line 5
$/atom:wat[527]/H1   1582       #"system.lt", line 3
$/atom:wat[527]/H2   1583       #"system.lt", line 4
$/atom:wat[527]/O   1584       #"system.lt", line 5
$/atom:wat[528]/H1   1585       #"system.lt", line 3
$/atom:wat[528]/H2   1586       #"system.lt", line 4
$/atom:wat[528]/O   1587       #"system.lt", line 5
$/atom:wat[529]/H1   1588       #"system.lt", line 3
$/atom:wat[529]/H2   1589       #"system.lt", line 4
$/atom:wat[529]/O   1590       #"system.lt", line 5
$/atom:wat[530]/H1   1591       #"system.lt", line 3
$/atom:wat[530]/H2   1592       #"system.lt", line 4
$/atom:wat[530]/O   1593       #"system.lt", line 5
$/atom:wat[531]/H1   1594       #"system.lt", line 3
$/atom:wat[531]/H2   1595       #"system.lt", line 4
$/atom:wat[531]/O   1596       #"system.lt", line 5
$/atom:wat[532]/H1   1597       #"system.lt", line 3
$/atom:wat[532]/H2   1598       #"system.lt", line 4
$/atom:wat[532]/O   1599       #"system.lt", line 5
$/atom:wat[533]/H1   1600       #"system.lt", line 3
$/atom:wat[533]/H2   1601       #"system.lt", line 4
$/atom:wat[533]/O   1602       #"system.lt", line 5
$/atom:wat[534]/H1   1603       #"system.lt", line 3
$/atom:wat[534]/H2   1604       #"system.lt", line 4
$/atom:wat[534]/O   1605       #"system.lt", line 5
$/atom:wat[535]/H1   1606       #"system.lt", line 3
$/atom:wat[535]/H2   1607       #"system.lt", line 4
$/atom:wat[535]/O   1608       #"system.lt", line 5
$/atom:wat[536]/H1   1609       #"system.lt", line 3
$/atom:wat[536]/H2   1610       #"system.lt", line 4
$/atom:wat[536]/O   1611       #"system.lt", line 5
$/atom:wat[537]/H1   1612       #"system.lt", line 3
$/atom:wat[537]/H2   1613       #"system.lt", line 4
$/atom:wat[537]/O   1614       #"system.lt", line 5
$/atom:wat[538]/H1   1615       #"system.lt", line 3
$/atom:wat[538]/H2   1616       #"system.lt", line 4
$/atom:wat[538]/O   1617       #"system.lt", line 5
$/atom:wat[539]/H1   1618       #"system.lt", line 3
$/atom:wat[539]/H2   1619       #"system.lt", line 4
$/atom:wat[539]/O   1620       #"system.lt", line 5
$/atom:wat[540]/H1   1621       #"system.lt", line 3
$/atom:wat[540]/H2   1622       #"system.lt", line 4
$/atom:wat[540]/O   1623       #"system.lt", line 5
$/atom:wat[541]/H1   1624       #"system.lt", line 3
$/atom:wat[541]/H2   1625       #"system.lt", line 4
$/atom:wat[541]/O   1626       #"system.lt", line 5
$/atom:wat[542]/H1   1627       #"system.lt", line 3
$/atom:wat[542]/H2   1628       #"system.lt", line 4
$/atom:wat[542]/O   1629       #"system.lt", line 5
$/atom:wat[543]/H1   1630       #"system.lt", line 3
$/atom:wat[543]/H2   1631       #"system.lt", line 4
$/atom:wat[543]/O   1632       #"system.lt", line 5
$/atom:wat[544]/H1   1633       #"system.lt", line 3
$/atom:wat[544]/H2   1634       #"system.lt", line 4
$/atom:wat[544]/O   1635       #"system.lt", line 5
$/atom:wat[545]/H1   1636       #"system.lt", line 3
$/atom:wat[545]/H2   1637       #"system.lt", line 4
$/atom:wat[545]/O   1638       #"system.lt", line 5
$/atom:wat[546]/H1   1639       #"system.lt", line 3
$/atom:wat[546]/H2   1640       #"system.lt", line 4
$/atom:wat[546]/O   1641       #"system.lt", line 5
$/atom:wat[547]/H1   1642       #"system.lt", line 3
$/atom:wat[547]/H2   1643       #"system.lt", line 4
$/atom:wat[547]/O   1644       #"system.lt", line 5
$/atom:wat[548]/H1   1645       #"system.lt", line 3
$/atom:wat[548]/H2   1646       #"system.lt", line 4
$/atom:wat[548]/O   1647       #"system.lt", line 5
$/atom:wat[549]/H1   1648       #"system.lt", line 3
$/atom:wat[549]/H2   1649       #"system.lt", line 4
$/atom:wat[549]/O   1650       #"system.lt", line 5
$/atom:wat[550]/H1   1651       #"system.lt", line 3
$/atom:wat[550]/H2   1652       #"system.lt", line 4
$/atom:wat[550]/O   1653       #"system.lt", line 5
$/atom:wat[551]/H1   1654       #"system.lt", line 3
$/atom:wat[551]/H2   1655       #"system.lt", line 4
$/atom:wat[551]/O   1656       #"system.lt", line 5
$/atom:wat[552]/H1   1657       #"system.lt", line 3
$/atom:wat[552]/H2   1658       #"system.lt", line 4
$/atom:wat[552]/O   1659       #"system.lt", line 5
$/atom:wat[553]/H1   1660       #"system.lt", line 3
$/atom:wat[553]/H2   1661       #"system.lt", line 4
$/atom:wat[553]/O   1662       #"system.lt", line 5
$/atom:wat[554]/H1   1663       #"system.lt", line 3
$/atom:wat[554]/H2   1664       #"system.lt", line 4
$/atom:wat[554]/O   1665       #"system.lt", line 5
$/atom:wat[555]/H1   1666       #"system.lt", line 3
$/atom:wat[555]/H2   1667       #"system.lt", line 4
$/atom:wat[555]/O   1668       #"system.lt", line 5
$/atom:wat[556]/H1   1669       #"system.lt", line 3
$/atom:wat[556]/H2   1670       #"system.lt", line 4
$/atom:wat[556]/O   1671       #"system.lt", line 5
$/atom:wat[557]/H1   1672       #"system.lt", line 3
$/atom:wat[557]/H2   1673       #"system.lt", line 4
$/atom:wat[557]/O   1674       #"system.lt", line 5
$/atom:wat[558]/H1   1675       #"system.lt", line 3
$/atom:wat[558]/H2   1676       #"system.lt", line 4
$/atom:wat[558]/O   1677       #"system.lt", line 5
$/atom:wat[559]/H1   1678       #"system.lt", line 3
$/atom:wat[559]/H2   1679       #"system.lt", line 4
$/atom:wat[559]/O   1680       #"system.lt", line 5
$/atom:wat[560]/H1   1681       #"system.lt", line 3
$/atom:wat[560]/H2   1682       #"system.lt", line 4
$/atom:wat[560]/O   1683       #"system.lt", line 5
$/atom:wat[561]/H1   1684       #"system.lt", line 3
$/atom:wat[561]/H2   1685       #"system.lt", line 4
$/atom:wat[561]/O   1686       #"system.lt", line 5
$/atom:wat[562]/H1   1687       #"system.lt", line 3
$/atom:wat[562]/H2   1688       #"system.lt", line 4
$/atom:wat[562]/O   1689       #"system.lt", line 5
$/atom:wat[563]/H1   1690       #"system.lt", line 3
$/atom:wat[563]/H2   1691       #"system.lt", line 4
$/atom:wat[563]/O   1692       #"system.lt", line 5
$/atom:wat[564]/H1   1693       #"system.lt", line 3
$/atom:wat[564]/H2   1694       #"system.lt", line 4
$/atom:wat[564]/O   1695       #"system.lt", line 5
$/atom:wat[565]/H1   1696       #"system.lt", line 3
$/atom:wat[565]/H2   1697       #"system.lt", line 4
$/atom:wat[565]/O   1698       #"system.lt", line 5
$/atom:wat[566]/H1   1699       #"system.lt", line 3
$/atom:wat[566]/H2   1700       #"system.lt", line 4
$/atom:wat[566]/O   1701       #"system.lt", line 5
$/atom:wat[567]/H1   1702       #"system.lt", line 3
$/atom:wat[567]/H2   1703       #"system.lt", line 4
$/atom:wat[567]/O   1704       #"system.lt", line 5
$/atom:wat[568]/H1   1705       #"system.lt", line 3
$/atom:wat[568]/H2   1706       #"system.lt", line 4
$/atom:wat[568]/O   1707       #"system.lt", line 5
$/atom:wat[569]/H1   1708       #"system.lt", line 3
$/atom:wat[569]/H2   1709       #"system.lt", line 4
$/atom:wat[569]/O   1710       #"system.lt", line 5
$/atom:wat[570]/H1   1711       #"system.lt", line 3
$/atom:wat[570]/H2   1712       #"system.lt", line 4
$/atom:wat[570]/O   1713       #"system.lt", line 5
$/atom:wat[571]/H1   1714       #"system.lt", line 3
$/atom:wat[571]/H2   1715       #"system.lt", line 4
$/atom:wat[571]/O   1716       #"system.lt", line 5
$/atom:wat[572]/H1   1717       #"system.lt", line 3
$/atom:wat[572]/H2   1718       #"system.lt", line 4
$/atom:wat[572]/O   1719       #"system.lt", line 5
$/atom:wat[573]/H1   1720       #"system.lt", line 3
$/atom:wat[573]/H2   1721       #"system.lt", line 4
$/atom:wat[573]/O   1722       #"system.lt", line 5
$/atom:wat[574]/H1   1723       #"system.lt", line 3
$/atom:wat[574]/H2   1724       #"system.lt", line 4
$/atom:wat[574]/O   1725       #"system.lt", line 5
$/atom:wat[575]/H1   1726       #"system.lt", line 3
$/atom:wat[575]/H2   1727       #"system.lt", line 4
$/atom:wat[575]/O   1728       #"system.lt", line 5
$/atom:wat[576]/H1   1729       #"system.lt", line 3
$/atom:wat[576]/H2   1730       #"system.lt", line 4
$/atom:wat[576]/O   1731       #"system.lt", line 5
$/atom:wat[577]/H1   1732       #"system.lt", line 3
$/atom:wat[577]/H2   1733       #"system.lt", line 4
$/atom:wat[577]/O   1734       #"system.lt", line 5
$/atom:wat[578]/H1   1735       #"system.lt", line 3
$/atom:wat[578]/H2   1736       #"system.lt", line 4
$/atom:wat[578]/O   1737       #"system.lt", line 5
$/atom:wat[579]/H1   1738       #"system.lt", line 3
$/atom:wat[579]/H2   1739       #"system.lt", line 4
$/atom:wat[579]/O   1740       #"system.lt", line 5
$/atom:wat[580]/H1   1741       #"system.lt", line 3
$/atom:wat[580]/H2   1742       #"system.lt", line 4
$/atom:wat[580]/O   1743       #"system.lt", line 5
$/atom:wat[581]/H1   1744       #"system.lt", line 3
$/atom:wat[581]/H2   1745       #"system.lt", line 4
$/atom:wat[581]/O   1746       #"system.lt", line 5
$/atom:wat[582]/H1   1747       #"system.lt", line 3
$/atom:wat[582]/H2   1748       #"system.lt", line 4
$/atom:wat[582]/O   1749       #"system.lt", line 5
$/atom:wat[583]/H1   1750       #"system.lt", line 3
$/atom:wat[583]/H2   1751       #"system.lt", line 4
$/atom:wat[583]/O   1752       #"system.lt", line 5
$/atom:wat[584]/H1   1753       #"system.lt", line 3
$/atom:wat[584]/H2   1754       #"system.lt", line 4
$/atom:wat[584]/O   1755       #"system.lt", line 5
$/atom:wat[585]/H1   1756       #"system.lt", line 3
$/atom:wat[585]/H2   1757       #"system.lt", line 4
$/atom:wat[585]/O   1758       #"system.lt", line 5
$/atom:wat[586]/H1   1759       #"system.lt", line 3
$/atom:wat[586]/H2   1760       #"system.lt", line 4
$/atom:wat[586]/O   1761       #"system.lt", line 5
$/atom:wat[587]/H1   1762       #"system.lt", line 3
$/atom:wat[587]/H2   1763       #"system.lt", line 4
$/atom:wat[587]/O   1764       #"system.lt", line 5
$/atom:wat[588]/H1   1765       #"system.lt", line 3
$/atom:wat[588]/H2   1766       #"system.lt", line 4
$/atom:wat[588]/O   1767       #"system.lt", line 5
$/atom:wat[589]/H1   1768       #"system.lt", line 3
$/atom:wat[589]/H2   1769       #"system.lt", line 4
$/atom:wat[589]/O   1770       #"system.lt", line 5
$/atom:wat[590]/H1   1771       #"system.lt", line 3
$/atom:wat[590]/H2   1772       #"system.lt", line 4
$/atom:wat[590]/O   1773       #"system.lt", line 5
$/atom:wat[591]/H1   1774       #"system.lt", line 3
$/atom:wat[591]/H2   1775       #"system.lt", line 4
$/atom:wat[591]/O   1776       #"system.lt", line 5
$/atom:wat[592]/H1   1777       #"system.lt", line 3
$/atom:wat[592]/H2   1778       #"system.lt", line 4
$/atom:wat[592]/O   1779       #"system.lt", line 5
$/atom:wat[593]/H1   1780       #"system.lt", line 3
$/atom:wat[593]/H2   1781       #"system.lt", line 4
$/atom:wat[593]/O   1782       #"system.lt", line 5
$/atom:wat[594]/H1   1783       #"system.lt", line 3
$/atom:wat[594]/H2   1784       #"system.lt", line 4
$/atom:wat[594]/O   1785       #"system.lt", line 5
$/atom:wat[595]/H1   1786       #"system.lt", line 3
$/atom:wat[595]/H2   1787       #"system.lt", line 4
$/atom:wat[595]/O   1788       #"system.lt", line 5
$/atom:wat[596]/H1   1789       #"system.lt", line 3
$/atom:wat[596]/H2   1790       #"system.lt", line 4
$/atom:wat[596]/O   1791       #"system.lt", line 5
$/atom:wat[597]/H1   1792       #"system.lt", line 3
$/atom:wat[597]/H2   1793       #"system.lt", line 4
$/atom:wat[597]/O   1794       #"system.lt", line 5
$/atom:wat[598]/H1   1795       #"system.lt", line 3
$/atom:wat[598]/H2   1796       #"system.lt", line 4
$/atom:wat[598]/O   1797       #"system.lt", line 5
$/atom:wat[599]/H1   1798       #"system.lt", line 3
$/atom:wat[599]/H2   1799       #"system.lt", line 4
$/atom:wat[599]/O   1800       #"system.lt", line 5
$/atom:wat[600]/H1   1801       #"system.lt", line 3
$/atom:wat[600]/H2   1802       #"system.lt", line 4
$/atom:wat[600]/O   1803       #"system.lt", line 5
$/atom:wat[601]/H1   1804       #"system.lt", line 3
$/atom:wat[601]/H2   1805       #"system.lt", line 4
$/atom:wat[601]/O   1806       #"system.lt", line 5
$/atom:wat[602]/H1   1807       #"system.lt", line 3
$/atom:wat[602]/H2   1808       #"system.lt", line 4
$/atom:wat[602]/O   1809       #"system.lt", line 5
$/atom:wat[603]/H1   1810       #"system.lt", line 3
$/atom:wat[603]/H2   1811       #"system.lt", line 4
$/atom:wat[603]/O   1812       #"system.lt", line 5
$/atom:wat[604]/H1   1813       #"system.lt", line 3
$/atom:wat[604]/H2   1814       #"system.lt", line 4
$/atom:wat[604]/O   1815       #"system.lt", line 5
$/atom:wat[605]/H1   1816       #"system.lt", line 3
$/atom:wat[605]/H2   1817       #"system.lt", line 4
$/atom:wat[605]/O   1818       #"system.lt", line 5
$/atom:wat[606]/H1   1819       #"system.lt", line 3
$/atom:wat[606]/H2   1820       #"system.lt", line 4
$/atom:wat[606]/O   1821       #"system.lt", line 5
$/atom:wat[607]/H1   1822       #"system.lt", line 3
$/atom:wat[607]/H2   1823       #"system.lt", line 4
$/atom:wat[607]/O   1824       #"system.lt", line 5
$/atom:wat[608]/H1   1825       #"system.lt", line 3
$/atom:wat[608]/H2   1826       #"system.lt", line 4
$/atom:wat[608]/O   1827       #"system.lt", line 5
$/atom:wat[609]/H1   1828       #"system.lt", line 3
$/atom:wat[609]/H2   1829       #"system.lt", line 4
$/atom:wat[609]/O   1830       #"system.lt", line 5
$/atom:wat[610]/H1   1831       #"system.lt", line 3
$/atom:wat[610]/H2   1832       #"system.lt", line 4
$/atom:wat[610]/O   1833       #"system.lt", line 5
$/atom:wat[611]/H1   1834       #"system.lt", line 3
$/atom:wat[611]/H2   1835       #"system.lt", line 4
$/atom:wat[611]/O   1836       #"system.lt", line 5
$/atom:wat[612]/H1   1837       #"system.lt", line 3
$/atom:wat[612]/H2   1838       #"system.lt", line 4
$/atom:wat[612]/O   1839       #"system.lt", line 5
$/atom:wat[613]/H1   1840       #"system.lt", line 3
$/atom:wat[613]/H2   1841       #"system.lt", line 4
$/atom:wat[613]/O   1842       #"system.lt", line 5
$/atom:wat[614]/H1   1843       #"system.lt", line 3
$/atom:wat[614]/H2   1844       #"system.lt", line 4
$/atom:wat[614]/O   1845       #"system.lt", line 5
$/atom:wat[615]/H1   1846       #"system.lt", line 3
$/atom:wat[615]/H2   1847       #"system.lt", line 4
$/atom:wat[615]/O   1848       #"system.lt", line 5
$/atom:wat[616]/H1   1849       #"system.lt", line 3
$/atom:wat[616]/H2   1850       #"system.lt", line 4
$/atom:wat[616]/O   1851       #"system.lt", line 5
$/atom:wat[617]/H1   1852       #"system.lt", line 3
$/atom:wat[617]/H2   1853       #"system.lt", line 4
$/atom:wat[617]/O   1854       #"system.lt", line 5
$/atom:wat[618]/H1   1855       #"system.lt", line 3
$/atom:wat[618]/H2   1856       #"system.lt", line 4
$/atom:wat[618]/O   1857       #"system.lt", line 5
$/atom:wat[619]/H1   1858       #"system.lt", line 3
$/atom:wat[619]/H2   1859       #"system.lt", line 4
$/atom:wat[619]/O   1860       #"system.lt", line 5
$/atom:wat[620]/H1   1861       #"system.lt", line 3
$/atom:wat[620]/H2   1862       #"system.lt", line 4
$/atom:wat[620]/O   1863       #"system.lt", line 5
$/atom:wat[621]/H1   1864       #"system.lt", line 3
$/atom:wat[621]/H2   1865       #"system.lt", line 4
$/atom:wat[621]/O   1866       #"system.lt", line 5
$/atom:wat[622]/H1   1867       #"system.lt", line 3
$/atom:wat[622]/H2   1868       #"system.lt", line 4
$/atom:wat[622]/O   1869       #"system.lt", line 5
$/atom:wat[623]/H1   1870       #"system.lt", line 3
$/atom:wat[623]/H2   1871       #"system.lt", line 4
$/atom:wat[623]/O   1872       #"system.lt", line 5
$/atom:wat[624]/H1   1873       #"system.lt", line 3
$/atom:wat[624]/H2   1874       #"system.lt", line 4
$/atom:wat[624]/O   1875       #"system.lt", line 5
$/atom:wat[625]/H1   1876       #"system.lt", line 3
$/atom:wat[625]/H2   1877       #"system.lt", line 4
$/atom:wat[625]/O   1878       #"system.lt", line 5
$/atom:wat[626]/H1   1879       #"system.lt", line 3
$/atom:wat[626]/H2   1880       #"system.lt", line 4
$/atom:wat[626]/O   1881       #"system.lt", line 5
$/atom:wat[627]/H1   1882       #"system.lt", line 3
$/atom:wat[627]/H2   1883       #"system.lt", line 4
$/atom:wat[627]/O   1884       #"system.lt", line 5
$/atom:wat[628]/H1   1885       #"system.lt", line 3
$/atom:wat[628]/H2   1886       #"system.lt", line 4
$/atom:wat[628]/O   1887       #"system.lt", line 5
$/atom:wat[629]/H1   1888       #"system.lt", line 3
$/atom:wat[629]/H2   1889       #"system.lt", line 4
$/atom:wat[629]/O   1890       #"system.lt", line 5
$/atom:wat[630]/H1   1891       #"system.lt", line 3
$/atom:wat[630]/H2   1892       #"system.lt", line 4
$/atom:wat[630]/O   1893       #"system.lt", line 5
$/atom:wat[631]/H1   1894       #"system.lt", line 3
